rij,Ligging,BuurtLabel,buurt,Overig,Beschrijving
104,Kom,Q,https://adamlink.nl/geo/district/buurt-q/144,Overige huizen,
105,Kom,R,https://adamlink.nl/geo/district/buurt-r/146,Huizen,
106,Kom,S,https://adamlink.nl/geo/district/buurt-s/145,Huizen,
107,Kom,T,https://adamlink.nl/geo/district/buurt-t/149,,Hr. Ms. instructieschip Admiraal van Wassenaer
108,Kom,T,https://adamlink.nl/geo/district/buurt-t/149,,Hr. Ms. wachtschip
109,Kom,T,https://adamlink.nl/geo/district/buurt-t/149,,Hr. Ms. logementschip Vulkaan
110,Kom,T,https://adamlink.nl/geo/district/buurt-t/149,,Hr. Ms. monitor Cerberus
111,Kom,T,https://adamlink.nl/geo/district/buurt-t/149,,Mariniers Kazerne
112,Kom,T,https://adamlink.nl/geo/district/buurt-t/149,Overige huizen,
113,Kom,T,https://adamlink.nl/geo/district/buurt-t/149,,Keeten
114,Kom,U,https://adamlink.nl/geo/district/buurt-u/148,,Matrozen Instituut met de Zeehond
115,Kom,U,https://adamlink.nl/geo/district/buurt-u/148,,Kweekschool v. Zeevaart
116,Kom,U,https://adamlink.nl/geo/district/buurt-u/148,,Oranje-Nassau Kazerne
117,Kom,U,https://adamlink.nl/geo/district/buurt-u/148,,Zeemanshuis
118,Kom,U,https://adamlink.nl/geo/district/buurt-u/148,,Het Leger des Heils
119,Kom,U,https://adamlink.nl/geo/district/buurt-u/148,Overige huizen,
120,Kom,U,https://adamlink.nl/geo/district/buurt-u/148,,Keet
121,Kom,V,https://adamlink.nl/geo/district/buurt-v/147,,Gest. v. Port. Isr. gehuwde oude lieden
122,Kom,V,https://adamlink.nl/geo/district/buurt-v/147,,Doetinchemsche Stichting Lucas
123,Kom,V,https://adamlink.nl/geo/district/buurt-v/147,,Kweekschool v. machinisten
